,date,open,close,high,low,volume,code
0,2016-01-04,54.584,46.604,54.584,46.574,17349.0,600519
1,2016-01-05,46.584,49.404,50.554,44.094,31908.0,600519
2,2016-01-06,49.364,48.764,50.244,45.884,23760.0,600519
3,2016-01-07,45.574,38.814,45.574,36.614,8148.0,600519
4,2016-01-08,40.754,41.214,44.584,36.584,44510.0,600519
5,2016-01-11,39.744,36.444,40.374,35.984,29702.0,600519
6,2016-01-12,37.684,33.374,38.684,32.584,40287.0,600519
7,2016-01-13,35.684,36.364,42.584,35.184,29201.0,600519
8,2016-01-14,33.694,41.404,42.564,32.094,34776.0,600519
9,2016-01-15,41.334,35.584,42.764,34.584,26681.0,600519
10,2016-01-18,34.584,36.014,38.984,33.784,27371.0,600519
11,2016-01-19,37.584,46.824,46.914,36.594,59110.0,600519
12,2016-01-20,43.584,38.904,46.744,37.594,40968.0,600519
13,2016-01-21,37.844,36.844,41.174,36.484,21832.0,600519
14,2016-01-22,39.694,39.324,39.984,35.394,22733.0,600519
15,2016-01-25,39.584,39.354,40.074,38.084,13750.0,600519
16,2016-01-26,37.574,35.594,41.054,35.084,22280.0,600519
17,2016-01-27,36.564,36.514,37.474,32.284,29840.0,600519
18,2016-01-28,36.334,33.224,36.334,32.204,17903.0,600519
19,2016-01-29,34.064,37.234,39.084,33.584,23090.0,600519
20,2016-02-01,38.684,37.874,39.384,36.474,19178.0,600519
21,2016-02-02,38.584,41.134,41.384,37.224,17842.0,600519
22,2016-02-03,39.164,40.244,41.144,38.084,15156.0,600519
23,2016-02-04,41.384,41.574,42.464,40.124,16624.0,600519
24,2016-02-05,41.574,40.454,41.764,39.114,14227.0,600519
25,2016-02-15,36.584,36.994,39.584,36.184,19470.0,600519
26,2016-02-16,37.144,40.504,44.584,37.144,19223.0,600519
27,2016-02-17,40.324,38.884,41.504,37.094,20349.0,600519
28,2016-02-18,39.784,38.294,40.184,37.684,18892.0,600519
29,2016-02-19,38.204,39.694,39.764,37.714,14238.0,600519
30,2016-02-22,42.584,44.384,44.904,42.584,27759.0,600519
31,2016-02-23,44.354,48.994,51.564,43.604,37460.0,600519
32,2016-02-24,48.784,54.324,54.614,47.594,33129.0,600519
33,2016-02-25,55.384,48.994,57.064,48.714,39480.0,600519
34,2016-02-26,49.684,53.424,55.834,47.844,28332.0,600519
35,2016-02-29,55.574,51.494,57.464,43.384,47712.0,600519
36,2016-03-01,52.544,55.004,56.884,46.984,34004.0,600519
37,2016-03-02,55.584,60.804,62.084,55.254,47942.0,600519
38,2016-03-03,61.584,64.394,68.564,58.244,40193.0,600519
39,2016-03-04,63.464,75.364,76.744,61.594,85838.0,600519
40,2016-03-07,74.694,70.224,76.584,67.634,39345.0,600519
41,2016-03-08,69.884,65.794,69.884,63.584,26147.0,600519
42,2016-03-09,63.584,64.024,69.234,62.684,16402.0,600519
43,2016-03-10,65.574,64.644,70.284,64.584,25727.0,600519
44,2016-03-11,63.124,64.634,68.464,62.084,16320.0,600519
45,2016-03-14,67.344,61.154,70.084,58.784,45277.0,600519
46,2016-03-15,61.384,68.504,70.974,60.924,36356.0,600519
47,2016-03-16,66.804,65.194,69.084,61.584,24250.0,600519
48,2016-03-17,66.584,66.144,70.684,64.884,28820.0,600519
49,2016-03-18,68.584,62.584,68.844,62.364,70568.0,600519
50,2016-03-21,63.244,68.564,68.604,63.234,38547.0,600519
51,2016-03-22,68.844,71.074,74.764,68.084,41766.0,600519
52,2016-03-23,71.784,71.554,73.584,69.264,21412.0,600519
53,2016-03-24,71.584,79.244,81.984,67.884,62068.0,600519
54,2016-03-25,79.084,81.564,86.374,77.604,44756.0,600519
55,2016-03-28,81.564,86.164,89.964,81.564,48337.0,600519
56,2016-03-29,86.184,84.694,87.584,81.024,36688.0,600519
57,2016-03-30,85.584,85.244,86.984,82.064,27782.0,600519
58,2016-03-31,86.424,84.224,86.884,83.574,19457.0,600519
59,2016-04-01,85.534,81.674,87.074,81.124,25146.0,600519
60,2016-04-05,79.584,82.104,84.084,79.584,25047.0,600519
61,2016-04-06,82.384,93.794,94.184,82.384,48424.0,600519
62,2016-04-07,93.474,90.694,94.064,89.204,25536.0,600519
63,2016-04-08,88.584,86.444,92.474,84.784,23156.0,600519
64,2016-04-11,87.084,80.304,91.764,80.084,119284.0,600519
65,2016-04-12,80.284,81.504,81.584,78.684,23339.0,600519
66,2016-04-13,81.984,78.824,85.214,78.284,54274.0,600519
67,2016-04-14,78.964,79.344,81.414,77.584,28664.0,600519
68,2016-04-15,79.224,81.484,81.564,77.784,19029.0,600519
69,2016-04-18,79.384,80.264,82.584,79.084,18593.0,600519
70,2016-04-19,81.174,79.764,81.774,78.034,14236.0,600519
71,2016-04-20,79.774,75.024,80.984,72.384,33708.0,600519
72,2016-04-21,77.084,76.954,78.884,74.884,29672.0,600519
73,2016-04-22,77.584,83.984,84.464,76.954,35459.0,600519
74,2016-04-25,83.704,81.104,84.684,79.884,24990.0,600519
75,2016-04-26,81.534,80.444,83.464,79.584,15156.0,600519
76,2016-04-27,81.084,81.464,82.064,80.074,13915.0,600519
77,2016-04-28,82.414,83.024,83.324,80.584,17156.0,600519
78,2016-04-29,83.974,87.784,89.014,83.974,46079.0,600519
79,2016-05-03,87.134,96.584,98.864,87.134,56474.0,600519
80,2016-05-04,96.584,92.794,98.974,92.574,28636.0,600519
81,2016-05-05,93.084,94.354,94.734,92.084,13517.0,600519
82,2016-05-06,93.894,88.804,95.104,87.704,27173.0,600519
83,2016-05-09,86.714,87.404,89.384,85.594,27799.0,600519
84,2016-05-10,86.084,88.664,90.584,85.694,33505.0,600519
85,2016-05-11,88.934,93.454,97.064,88.934,49277.0,600519
86,2016-05-12,90.604,92.544,93.144,88.584,18894.0,600519
87,2016-05-13,92.564,87.544,95.484,87.084,28145.0,600519
88,2016-05-16,87.444,88.214,88.384,83.884,22202.0,600519
89,2016-05-17,87.594,86.614,88.984,86.414,11785.0,600519
90,2016-05-18,85.664,81.024,88.434,79.684,28380.0,600519
91,2016-05-19,81.744,82.354,85.084,81.084,20889.0,600519
92,2016-05-20,83.424,87.844,88.764,80.904,25501.0,600519
93,2016-05-23,86.304,90.784,91.574,86.304,18706.0,600519
94,2016-05-24,90.994,88.524,91.794,86.684,11674.0,600519
95,2016-05-25,91.064,88.444,91.524,87.594,17785.0,600519
96,2016-05-26,88.574,89.294,90.384,85.784,18120.0,600519
97,2016-05-27,89.304,89.024,91.274,87.964,13230.0,600519
98,2016-05-30,88.084,92.714,93.084,86.584,29806.0,600519
99,2016-05-31,92.584,101.054,103.204,91.784,53949.0,600519
100,2016-06-01,101.984,100.374,102.084,99.584,21876.0,600519
101,2016-06-02,99.594,104.324,105.264,99.594,24760.0,600519
102,2016-06-03,103.584,120.474,123.324,102.984,64798.0,600519
103,2016-06-06,118.584,112.634,119.584,111.584,37261.0,600519
104,2016-06-07,113.084,114.434,115.074,111.594,18753.0,600519
105,2016-06-08,112.984,110.864,114.444,110.084,23882.0,600519
106,2016-06-13,109.934,103.644,113.244,102.834,37775.0,600519
107,2016-06-14,104.294,109.334,110.384,104.294,25587.0,600519
108,2016-06-15,107.294,113.074,114.384,106.794,27322.0,600519
109,2016-06-16,111.444,110.604,114.384,110.364,19643.0,600519
110,2016-06-17,110.184,114.844,119.074,110.184,24705.0,600519
111,2016-06-20,116.354,112.694,116.444,110.584,19019.0,600519
112,2016-06-21,113.624,110.394,114.524,109.584,16749.0,600519
113,2016-06-22,110.354,115.024,115.944,109.354,20884.0,600519
114,2016-06-23,116.554,113.024,116.554,111.464,13984.0,600519
115,2016-06-24,111.864,110.354,113.584,103.784,20129.0,600519
116,2016-06-27,111.584,124.264,128.884,111.584,63642.0,600519
117,2016-06-28,123.604,124.794,126.244,122.904,24282.0,600519
118,2016-06-29,124.134,124.764,126.034,120.784,28147.0,600519
119,2016-06-30,126.604,128.504,134.784,126.604,38022.0,600519
120,2016-07-01,129.955,128.925,134.635,126.755,26014.0,600519
121,2016-07-04,129.755,136.655,138.155,128.755,29488.0,600519
122,2016-07-05,137.785,143.335,145.855,137.785,41707.0,600519
123,2016-07-06,142.555,159.945,160.755,141.765,47347.0,600519
124,2016-07-07,158.555,159.665,169.555,154.835,50725.0,600519
125,2016-07-08,156.285,152.665,158.255,148.915,45545.0,600519
126,2016-07-11,151.785,157.895,166.755,151.785,57481.0,600519
127,2016-07-12,158.515,167.485,169.355,157.755,53119.0,600519
128,2016-07-13,165.785,159.945,167.485,157.805,53448.0,600519
129,2016-07-14,158.845,159.845,163.555,157.955,29230.0,600519
130,2016-07-15,159.875,160.275,160.785,157.815,26811.0,600519
131,2016-07-18,160.255,158.965,162.255,158.415,23352.0,600519
132,2016-07-19,158.255,150.865,159.055,148.305,41431.0,600519
133,2016-07-20,151.375,151.315,153.625,150.255,17733.0,600519
134,2016-07-21,152.905,157.135,160.355,151.755,33009.0,600519
135,2016-07-22,155.655,150.675,157.955,150.135,28871.0,600519
136,2016-07-25,150.355,154.015,156.945,149.755,23623.0,600519
137,2016-07-26,151.765,161.795,162.255,151.255,35555.0,600519
138,2016-07-27,162.605,156.765,163.355,151.055,39228.0,600519
139,2016-07-28,154.755,158.805,162.055,154.255,39643.0,600519
140,2016-07-29,157.835,155.905,161.635,155.755,29007.0,600519
141,2016-08-01,155.755,149.715,156.705,147.755,31701.0,600519
142,2016-08-02,150.005,148.965,153.255,145.605,26541.0,600519
143,2016-08-03,149.755,149.575,150.655,146.905,24039.0,600519
144,2016-08-04,149.605,149.055,151.085,146.975,21793.0,600519
145,2016-08-05,149.245,148.685,151.125,147.785,20308.0,600519
146,2016-08-08,148.905,150.855,151.055,145.815,22007.0,600519
147,2016-08-09,150.925,158.505,160.425,149.175,39289.0,600519
148,2016-08-10,157.805,156.565,159.255,156.085,20944.0,600519
149,2016-08-11,157.135,159.525,164.325,156.765,31939.0,600519
150,2016-08-12,160.155,159.725,160.155,156.765,23352.0,600519
151,2016-08-15,158.555,161.535,164.445,156.905,34110.0,600519
152,2016-08-16,164.755,152.275,165.235,150.755,88378.0,600519
153,2016-08-17,152.355,150.915,153.725,149.255,43754.0,600519
154,2016-08-18,150.705,149.185,152.405,147.885,31005.0,600519
155,2016-08-19,148.555,149.235,150.205,147.555,19140.0,600519
156,2016-08-22,148.885,150.075,152.335,148.755,20812.0,600519
157,2016-08-23,150.085,149.635,151.795,148.555,19914.0,600519
158,2016-08-24,149.775,148.035,150.245,146.585,22779.0,600519
159,2016-08-25,147.955,145.765,148.135,142.825,25362.0,600519
160,2016-08-26,145.895,144.205,147.305,143.155,21436.0,600519
161,2016-08-29,150.755,150.285,151.555,147.955,38055.0,600519
162,2016-08-30,149.755,148.615,151.255,147.425,21170.0,600519
163,2016-08-31,149.455,152.945,153.515,148.295,40401.0,600519
164,2016-09-01,152.455,151.465,154.755,151.005,17185.0,600519
165,2016-09-02,150.755,148.535,152.205,147.635,18572.0,600519
166,2016-09-05,148.955,151.255,151.755,148.565,19138.0,600519
167,2016-09-06,151.255,152.695,153.115,151.105,20625.0,600519
168,2016-09-07,152.435,149.355,152.435,148.255,29645.0,600519
169,2016-09-08,147.965,148.575,149.255,147.165,16705.0,600519
170,2016-09-09,149.405,147.385,149.615,146.755,16222.0,600519
171,2016-09-12,144.755,140.815,146.755,140.525,38238.0,600519
172,2016-09-13,142.705,143.185,143.725,142.055,16255.0,600519
173,2016-09-14,142.855,142.325,144.955,140.765,18527.0,600519
174,2016-09-19,142.805,142.885,144.325,142.635,12852.0,600519
175,2016-09-20,143.535,137.715,143.555,136.755,34892.0,600519
176,2016-09-21,137.815,136.805,138.145,131.865,39037.0,600519
177,2016-09-22,137.055,139.735,142.735,136.765,29606.0,600519
178,2016-09-23,139.775,140.435,141.705,138.155,12671.0,600519
179,2016-09-26,139.755,131.485,139.765,131.305,37176.0,600519
180,2016-09-27,131.635,133.925,134.735,131.515,17915.0,600519
181,2016-09-28,134.545,131.165,134.545,130.315,22360.0,600519
182,2016-09-29,130.605,133.735,135.755,130.605,23705.0,600519
183,2016-09-30,132.755,140.665,142.385,132.755,29603.0,600519
184,2016-10-10,141.265,145.715,146.615,141.265,21103.0,600519
185,2016-10-11,146.755,151.675,151.755,145.755,41736.0,600519
186,2016-10-12,151.255,148.575,151.255,147.655,19286.0,600519
187,2016-10-13,149.555,146.645,149.695,146.265,16143.0,600519
188,2016-10-14,146.225,148.355,148.755,145.955,12690.0,600519
189,2016-10-17,148.205,145.205,148.255,144.255,18957.0,600519
190,2016-10-18,145.255,149.915,151.255,144.755,30389.0,600519
191,2016-10-19,151.255,149.205,151.505,147.855,14123.0,600519
192,2016-10-20,150.145,148.235,150.145,147.555,14079.0,600519
193,2016-10-21,147.835,146.945,148.235,145.345,11483.0,600519
194,2016-10-24,145.355,149.685,149.755,145.355,26246.0,600519
195,2016-10-25,150.145,155.695,155.755,150.145,43762.0,600519
196,2016-10-26,155.755,156.435,161.065,154.405,46813.0,600519
197,2016-10-27,155.745,159.625,160.975,153.765,32951.0,600519
198,2016-10-28,160.255,159.805,161.185,156.755,20137.0,600519
199,2016-10-31,161.755,160.705,165.555,159.555,43596.0,600519
200,2016-11-01,160.705,159.435,161.755,158.305,19512.0,600519
201,2016-11-02,158.845,157.935,159.915,156.435,20636.0,600519
202,2016-11-03,157.755,158.615,159.215,156.905,18690.0,600519
203,2016-11-04,158.745,157.575,161.005,156.735,20619.0,600519
204,2016-11-07,157.755,158.085,159.755,155.955,16047.0,600519
205,2016-11-08,159.255,162.755,164.935,158.435,34193.0,600519
206,2016-11-09,162.755,159.565,164.725,156.555,30004.0,600519
207,2016-11-10,161.855,161.885,163.755,160.485,17804.0,600519
208,2016-11-11,160.745,157.835,161.055,157.555,35902.0,600519
209,2016-11-14,158.305,153.745,158.625,152.745,39920.0,600519
210,2016-11-15,152.785,156.765,158.405,152.785,24470.0,600519
211,2016-11-16,156.565,155.905,158.155,154.755,13399.0,600519
212,2016-11-17,154.835,153.795,155.755,153.285,18337.0,600519
213,2016-11-18,153.915,152.755,154.555,152.635,19377.0,600519
214,2016-11-21,153.775,152.255,154.415,151.125,26083.0,600519
215,2016-11-22,153.055,151.625,153.205,151.125,26424.0,600519
216,2016-11-23,153.755,155.705,155.755,151.865,34015.0,600519
217,2016-11-24,155.955,159.685,159.755,154.175,39078.0,600519
218,2016-11-25,159.795,159.645,160.755,156.175,22369.0,600519
219,2016-11-28,160.305,162.255,162.935,159.355,49253.0,600519
220,2016-11-29,163.455,166.715,173.205,162.165,58830.0,600519
221,2016-11-30,163.975,161.835,166.055,161.205,26752.0,600519
222,2016-12-01,162.755,163.775,167.345,161.435,27941.0,600519
223,2016-12-02,163.755,164.525,165.955,161.755,30628.0,600519
224,2016-12-05,161.955,158.685,167.295,158.575,42060.0,600519
225,2016-12-06,158.985,169.175,169.335,158.985,38923.0,600519
226,2016-12-07,169.875,170.205,171.255,166.725,25271.0,600519
227,2016-12-08,170.765,180.465,182.755,169.755,54475.0,600519
228,2016-12-09,179.955,180.515,182.175,176.775,34495.0,600519
229,2016-12-12,180.455,169.615,182.755,168.455,50332.0,600519
230,2016-12-13,169.595,175.765,177.755,168.255,41780.0,600519
231,2016-12-14,175.755,175.025,176.825,171.255,32029.0,600519
232,2016-12-15,175.215,170.805,175.745,168.335,39202.0,600519
233,2016-12-16,169.755,170.335,172.635,166.335,25051.0,600519
234,2016-12-19,168.755,168.715,177.125,168.365,30471.0,600519
235,2016-12-20,168.795,169.235,169.755,164.565,30831.0,600519
236,2016-12-21,169.655,171.415,172.045,166.315,24711.0,600519
237,2016-12-22,170.755,167.955,171.215,167.635,14678.0,600519
238,2016-12-23,166.305,162.785,167.255,161.885,31095.0,600519
239,2016-12-26,161.785,167.235,167.745,158.955,26001.0,600519
240,2016-12-27,167.265,168.915,171.555,166.255,20062.0,600519
241,2016-12-28,169.745,166.475,170.755,166.085,17878.0,600519
242,2016-12-29,166.755,170.065,170.625,165.755,21225.0,600519
243,2016-12-30,169.365,176.905,178.045,169.365,34687.0,600519
244,2017-01-03,177.035,177.315,179.755,175.565,20763.0,600519
245,2017-01-04,177.375,194.665,194.925,177.355,65257.0,600519
246,2017-01-05,192.755,189.495,194.205,188.195,41704.0,600519
247,2017-01-06,189.395,193.515,202.535,188.855,68095.0,600519
248,2017-01-09,190.555,191.265,195.635,189.295,35405.0,600519
249,2017-01-10,191.205,191.755,194.755,189.355,31727.0,600519
250,2017-01-11,190.755,188.205,190.755,186.255,23598.0,600519
251,2017-01-12,189.305,189.805,190.155,187.265,17779.0,600519
252,2017-01-13,189.735,187.625,190.145,186.635,18282.0,600519
253,2017-01-16,186.885,184.225,187.555,181.555,36855.0,600519
254,2017-01-17,185.355,191.885,194.255,184.755,35188.0,600519
255,2017-01-18,191.635,197.835,199.525,189.965,46005.0,600519
256,2017-01-19,197.755,197.475,201.235,194.455,28523.0,600519
257,2017-01-20,197.655,197.745,200.155,195.785,21344.0,600519
258,2017-01-23,199.635,193.975,202.555,192.215,32581.0,600519
259,2017-01-24,194.025,193.065,195.555,189.505,26914.0,600519
260,2017-01-25,192.735,190.385,192.735,188.955,22990.0,600519
261,2017-01-26,190.895,187.175,191.555,184.055,37826.0,600519
262,2017-02-03,188.755,189.605,191.935,187.755,20936.0,600519
263,2017-02-06,191.245,189.605,191.645,187.715,15680.0,600519
264,2017-02-07,189.595,186.335,190.155,185.895,20519.0,600519
265,2017-02-08,186.515,186.965,188.255,185.425,19088.0,600519
266,2017-02-09,187.755,190.365,191.545,187.365,23324.0,600519
267,2017-02-10,191.375,187.835,192.575,187.755,24056.0,600519
268,2017-02-13,186.755,192.505,194.655,184.675,53587.0,600519
269,2017-02-14,192.295,192.965,195.355,191.855,26558.0,600519
270,2017-02-15,194.255,191.285,195.195,189.955,26256.0,600519
271,2017-02-16,191.255,190.845,191.375,188.265,17642.0,600519
272,2017-02-17,191.655,193.315,197.195,190.255,29102.0,600519
273,2017-02-20,193.165,204.045,205.075,192.765,61853.0,600519
274,2017-02-21,204.635,201.495,205.185,199.935,27705.0,600519
275,2017-02-22,203.365,204.645,209.275,202.755,37130.0,600519
276,2017-02-23,203.725,204.455,208.235,202.515,23328.0,600519
277,2017-02-24,204.755,205.375,205.645,202.805,17692.0,600519
278,2017-02-27,205.245,199.955,205.605,199.555,25400.0,600519
279,2017-02-28,199.755,197.415,201.955,196.335,27473.0,600519
280,2017-03-01,197.855,199.365,200.955,197.755,21944.0,600519
281,2017-03-02,199.465,199.575,199.755,197.285,22103.0,600519
282,2017-03-03,197.755,199.295,200.975,197.755,14153.0,600519
283,2017-03-06,200.415,201.715,202.295,199.305,22818.0,600519
284,2017-03-07,200.785,209.955,211.635,200.785,46286.0,600519
285,2017-03-08,209.935,210.035,211.245,208.255,16037.0,600519
286,2017-03-09,209.755,212.655,212.735,208.315,23406.0,600519
287,2017-03-10,212.675,212.605,219.755,211.115,40951.0,600519
288,2017-03-13,212.805,214.305,217.085,210.285,27674.0,600519
289,2017-03-14,214.305,212.255,216.605,211.095,20416.0,600519
290,2017-03-15,212.255,217.435,217.905,211.765,25155.0,600519
291,2017-03-16,219.315,217.525,221.055,215.555,25022.0,600519
292,2017-03-17,215.855,221.235,227.205,215.855,34700.0,600519
293,2017-03-20,223.255,229.165,229.465,221.635,31545.0,600519
294,2017-03-21,229.305,236.765,239.255,229.255,48460.0,600519
295,2017-03-22,233.285,237.235,237.355,227.755,45532.0,600519
296,2017-03-23,234.785,232.545,236.745,229.355,34504.0,600519
297,2017-03-24,235.075,229.575,235.975,227.755,33287.0,600519
298,2017-03-27,228.785,221.575,232.015,221.145,53690.0,600519
299,2017-03-28,222.705,223.015,223.905,219.415,41187.0,600519
300,2017-03-29,223.765,226.405,228.555,222.655,37299.0,600519
301,2017-03-30,225.755,228.895,229.645,225.355,31612.0,600519
302,2017-03-31,228.955,229.115,230.755,226.935,24474.0,600519
303,2017-04-05,228.415,232.415,237.745,227.755,40789.0,600519
304,2017-04-06,231.765,234.665,235.755,229.385,28857.0,600519
305,2017-04-07,235.745,235.625,236.755,232.355,24097.0,600519
306,2017-04-10,236.755,231.955,236.755,230.755,28869.0,600519
307,2017-04-11,230.805,228.045,233.455,223.355,43530.0,600519
308,2017-04-12,228.045,232.985,233.755,227.555,27002.0,600519
